count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,p_value,sentiment_majority,t_case_local,t_function,t_gold,t_id,t_id_full,unnatural_count,context_count
,3.0,,3,trans/ladyboy,คนแปลงเพศ,non-hateful,"กุจะไม่ทนกับโพสต์แบบว่า ""{IDENTITY_P} น่ารังเกียจ""เลย",counter_quote_nh,non-hateful,536,536,0,0
3.0,,,3,Thai,คนไทย,hateful,พวก{IDENTITY_P}แม่งโคตรน่ารำคาญเลยว่ะ,derog_dehum_h,hateful,57,57,0,0
3.0,,,3,disbabled,คนพิการ,hateful,ไอสัด {IDENTITY_S}จะต้องตายด้วยความทรมาณจากมือของกุ,threat_dir_h,hateful,100,100,0,0
3.0,,,3,Thai Isan,คนอีสาน,hateful,ทน{IDENTITY_P}ไม่ไหวเลยวะ,derog_neg_emote_h,hateful,2,2a,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,ถ้าพวก{IDENTITY_P}อย่างมึงไม่ยอมปรับตัวเข้าหาสังคม ก็สมควรโดนแบบนี้แหละ,ref_subs_clause_h,hateful,376,376,1,1
3.0,,,3,boy,เด็กผู้ชาย,hateful,ในโลกที่ยุติธรรม อีพวก{IDENTITY_P}อย่างมึงควรตายห่าให้หมด,threat_norm_h,hateful,114,114,1,0
3.0,,,3,christianity,คนคริสต์,hateful,เป็นธรรมดาของ{IDENTITY_S}ที่จะเหี้ยแบบนี้,profanity_h,hateful,252,252,0,0
3.0,,,3,Thai Isan,คนอีสาน,hateful,ไอพวก{SLUR_P} ทำอีกแล้ว,slur_h,hateful,128,128,0,2
3.0,,,3,Thai Isan,คนอีสาน,hateful,พวก{IDENTITY_P}มันรกโลก,derog_dehum_h,hateful,55,55,0,0
3.0,,,3,disbabled,คนพิการ,hateful,{IDENTITY_P} คงคิดว่ามันพิเศษกว่าคนอื่น กุเกลียดคนแบบนี้ชิบหาย,ref_subs_sent_h,hateful,382,382a,0,0
,3.0,,0,Malay,คนมาเล,non-hateful,การลงโทษด้วยการเผาทั้งเป็นกับ{IDENTITY_P}มันรุนแรงเกินไป,threat_norm_h,hateful,120,120b,0,0
3.0,,,3,buddhism,คนพุทธ,hateful,ในโลกที่ยุติธรรม อีพวก{IDENTITY_P}อย่างมึงควรตายห่าให้หมด,threat_norm_h,hateful,114,114,0,0
3.0,,,3,christianity,คนคริสต์,hateful,กูจะทำร้ายพวก{IDENTITY_P}แบบมึง,threat_dir_h,hateful,88,88,0,0
2.0,,1.0,2,elderly,ผู้สูงอายุ,hateful,มีแต่พวก io จาก{IDENTITY_P}เท่านั้นแหละที่คอยมาแซะรัฐบาล,derog_dehum_h,hateful,60,60b,0,1
,3.0,,3,tomboy,ทอม,non-hateful,"การที่มึงบอกว่า ""{IDENTITY_P} แม่งเป็นพวกขยะ"" มันแสดงถึงตัวมึงเองนะเว้ย",counter_quote_nh,non-hateful,551,551,0,0
,3.0,,3,Cambodians,คนขแมร์,non-hateful,ชีวิตของ{IDENTITY_A}ไม่ได้ด้อยค่าไปกว่าคนอื่นหรอก,negate_neg_nh,non-hateful,430,430,0,0
3.0,,,3,Thai,คนไทย,hateful,อยากเห็นอีพวก{IDENTITY_P}เจ็บปวด,threat_norm_h,hateful,103,103,0,0
2.0,1.0,,2,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,กุคงโอเคกับ{IDENTITY_P} ถ้าพวกมันไม่เหี้ยขนาดนี้,ref_subs_clause_h,hateful,381,381,0,0
3.0,,,3,christianity,คนคริสต์,hateful,เกลียดพวก{IDENTITY_P}จนไม่รู้จะพูดยังไงดี,derog_neg_emote_h,hateful,19,19,0,0
,3.0,,3,Thai Isan,คนอีสาน,non-hateful,"การที่มึงบอกว่า ""{IDENTITY_P} แม่งเป็นพวกขยะ"" มันแสดงถึงตัวมึงเองนะเว้ย",counter_quote_nh,non-hateful,551,551,0,0
3.0,,,3,women,ผู้หญิง,hateful,เราจะยิง{IDENTITY_S}ต่อไปที่เห็น,threat_dir_h,hateful,84,84a,2,0
,3.0,,3,labour workers,แรงงาน,non-hateful,เราไม่ได้เกลียดพวก{IDENTITY_P},negate_neg_nh,non-hateful,423,423,0,0
3.0,,,3,Myanmar,คนพม่า,hateful,{IDENTITY_P} แบบมึงน่ะ ไม่ต่างอะไรกับหนูตามท่อเลย,derog_dehum_h,hateful,51,51,0,0
3.0,,,3,Thai,คนไทย,hateful,อีพวก{IDENTITY_P}มันโง่เง่ากันทุกคนเลย,derog_neg_attrib_h,hateful,40,40,0,0
3.0,,,3,elderly,ผู้สูงอายุ,hateful,ทน{IDENTITY_P}ไม่ไหวเลยวะ,derog_neg_emote_h,hateful,2,2a,0,0
3.0,,,3,male,ผู้ชาย,hateful,แล้วกุผิดตรงไหนที่บอกว่า{IDENTITY_P}อย่างมึงสมควรตาย,phrase_question_h,hateful,456,456,0,0
3.0,,,3,buddhism,คนพุทธ,hateful,แม่งโคตรเกลียดพวก{IDENTITY_P}ที่อยู่แถวนี้,derog_neg_emote_h,hateful,6,6,0,0
3.0,,,3,islam,คนอิสลาม,hateful,มี{IDENTITY_P}บางคนได้เป็นรัฐบาล แม่งก็ยังเป็นแค่ขยะสำหรับกุอยู่ดี,ref_subs_sent_h,hateful,390,390,0,0
,3.0,,3,migrant workers,แรงงานต่างด้าว,non-hateful,ในโลกที่ยุติธรรม{IDENTITY_P}ทุกคนควรได้รับการยกย่อง,ident_pos_nh,non-hateful,530,530,0,0
,3.0,,3,christianity,คนคริสต์,non-hateful,"ประโยคอย่าง ""อีพวก{IDENTITY_P}เป็นขยะ"" มันเจ็บใจสุดๆ",counter_quote_nh,non-hateful,537,537,0,0
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,ทน{IDENTITY_P}ไม่ไหวเลยวะ,derog_neg_emote_h,hateful,2,2a,0,0
,3.0,,3,Highland Indigenous People,คนกะเหรี่ยง,non-hateful,"ทำไมถึงพูด ""{IDENTITY_P} น่ารังเกียจ"" แล้วไม่รู้ว่ามันไม่ดีนี่นะ",counter_quote_nh,non-hateful,535,535,1,0
,3.0,,3,christianity,คนคริสต์,non-hateful,ถ้าจะไปด่า{IDENTITY_P}ให้ไปตาย อย่าหวังให้พวกเขาเคารพมึงเลย,counter_ref_nh,non-hateful,569,569,0,0
2.0,,1.0,2,male,ผู้ชาย,hateful,มีแต่พวก io จาก{IDENTITY_P}เท่านั้นแหละที่คอยมาแซะรัฐบาล,derog_dehum_h,hateful,60,60b,1,0
3.0,,,3,christianity,คนคริสต์,hateful,อีพวก{IDENTITY_P}ไม่เหมือนเราเลย มันต้องตาย,ref_subs_clause_h,hateful,375,375,0,0
3.0,,,3,disbabled,คนพิการ,hateful,คงจะดีถ้ามีคนไปรัดคอพวก{IDENTITY_P}ให้ตายๆ ไป,threat_norm_h,hateful,113,113a,0,0
3.0,,,3,tomboy,ทอม,hateful,ไอสัด {IDENTITY_S}จะต้องตายด้วยความทรมาณจากมือของกุ,threat_dir_h,hateful,100,100,0,0
3.0,,,3,Cambodians,คนขแมร์,hateful,พวกมันก็แค่{SLUR_P},slur_h,hateful,125,125,0,3
3.0,,,3,christianity,คนคริสต์,hateful,กุหมั่นใส้{IDENTITY_P}ชห,derog_neg_emote_h,hateful,4,4,0,0
,3.0,,3,women,ผู้หญิง,non-hateful,ถ้าจะไปด่า{IDENTITY_P}ให้ไปตาย อย่าหวังให้พวกเขาเคารพมึงเลย,counter_ref_nh,non-hateful,569,569,0,0
,3.0,,3,Highland Indigenous People,คนกะเหรี่ยง,non-hateful,เราต้องไม่ให้{IDENTITY_P}โดนทำร้ายอีกต่อไป,negate_neg_nh,non-hateful,435,435b,0,0
3.0,,,3,Myanmar,คนพม่า,hateful,พวก{IDENTITY_P}มันรกโลก,derog_dehum_h,hateful,55,55,0,0
3.0,,,3,Thai-Laos,คนลาว,hateful,มีแต่พวก{IDENTITY_P}เท่านั้นแหละที่โง่ได้ขนาดนี้,derog_neg_attrib_h,hateful,34,34,0,0
3.0,,,3,buddhism,คนพุทธ,hateful,เท่าที่เรารู้อีพวก{IDENTITY_P}เป็นขยะของมนุษย์,phrase_opinion_h,hateful,469,469b,0,0
3.0,,,3,Thai,คนไทย,hateful,แน่นอนว่าพวก{IDENTITY_P}ไม่สมควรได้สิทธิมนุษยชน,negate_pos_h,hateful,406,406,0,0
3.0,,,3,gay,เกย์,hateful,งงว่าทำไมคนถึงสนใจไอพวก{IDENTITY_P},derog_impl_h,hateful,71,71,0,0
3.0,,,3,Malay,คนมาเล,hateful,ไอสัด {IDENTITY_S}จะต้องตายด้วยความทรมาณจากมือของกุ,threat_dir_h,hateful,100,100,0,0
3.0,,,3,Malay,คนมาเล,hateful,{IDENTITY_P} แม่งเหี้ยกันทุกคนเลย,profanity_h,hateful,256,256,0,0
3.0,,,3,Myanmar,คนพม่า,hateful,ก็แค่พวก{IDENTITY_P} ยิงแม่งทิ้งไปเลยดีกว่า,ref_subs_sent_h,hateful,396,396,0,0
3.0,,,3,islam,คนอิสลาม,hateful,คงจะดีถ้ามีคนไปรัดคอพวก{IDENTITY_P}ให้ตายๆ ไป,threat_norm_h,hateful,113,113a,0,0
1.0,2.0,,2,boy,เด็กผู้ชาย,non-hateful,ใครที่ไปแช่งว่า{IDENTITY_P}ควรตายๆ ไป สมควรโดนจับเข้าคุกให้หมด,counter_quote_nh,non-hateful,542,542,1,0
2.0,1.0,,1,,,hateful,พวกม็อบควรถูกยิงกลางถนนให้หมด,target_group_nh,non-hateful,752,752,0,0
3.0,,,3,trans/ladyboy,คนแปลงเพศ,hateful,ทน{IDENTITY_P}ไม่ไหวเลยวะ,derog_neg_emote_h,hateful,2,2a,0,0
,1.0,2.0,1,Thai,คนไทย,nonsensical,มันไม่โอเคเลยที่จะเรียกคนว่า{SLUR_S},counter_ref_nh,non-hateful,566,566,0,0
3.0,,,3,Thai-Laos,คนลาว,hateful,เกลียดไอ{IDENTITY_S}ที่สุดในโลก,derog_impl_h,hateful,79,79,0,0
3.0,,,3,islam,คนอิสลาม,hateful,{IDENTITY_P} แบบมึงน่ะ ไม่ต่างอะไรกับหนูตามท่อเลย,derog_dehum_h,hateful,51,51,0,0
3.0,,,3,women,ผู้หญิง,hateful,อีพวก{IDENTITY_P}ไม่ควรอยู่บนโลกนี้,negate_pos_h,hateful,421,421a,1,0
,3.0,,3,girl,เด็กผู้หญิง,non-hateful,{IDENTITY_P} นี่แหละ ที่สมควรเป็นหนึ่งในรัฐบาลของเรา,ident_pos_nh,non-hateful,518,518,1,0
,3.0,,3,Highland Indigenous People,คนกะเหรี่ยง,non-hateful,{IDENTITY_P} นี่แหละ ที่สมควรเป็นหนึ่งในรัฐบาลของเรา,ident_pos_nh,non-hateful,518,518,0,0
,3.0,,3,hinduism,คนฮินดู,non-hateful,ไม่มี{IDENTITY_S}คนไหนสมควรโดนประหารชีวิตทั้งนั้นแหละ,negate_neg_nh,non-hateful,441,441,0,0
,3.0,,3,boy,เด็กผู้ชาย,non-hateful,มันไม่โอเคเลยที่จะเรียกคนว่า{SLUR_S},counter_ref_nh,non-hateful,566,566,1,0
3.0,,,3,boy,เด็กผู้ชาย,hateful,กุว่ามีแค่{IDENTITY_P}เท่านั้นแหละที่โง่ขนาดนี้,phrase_opinion_h,hateful,463,463,1,0
,3.0,,3,Cambodians,คนเขมร,non-hateful,"ประโยคอย่าง ""อีพวก{IDENTITY_P}เป็นขยะ"" มันเจ็บใจสุดๆ",counter_quote_nh,non-hateful,537,537,0,0
3.0,,,3,christianity,คนคริสต์,hateful,กำจัด{IDENTITY_P}ให้สิ้นซากไปเลยดีกว่า,threat_dir_h,hateful,95,95,0,0
3.0,,,3,gay,เกย์,hateful,กุเกลียดพวก{IDENTITY_P}มากๆ,derog_neg_emote_h,hateful,8,8,0,0
3.0,,,3,Cambodians,คนขแมร์,hateful,ผิดตรงไหนที่คิดว่าชีวิตของ{IDENTITY_A}ไม่มีค่า,phrase_question_h,hateful,459,459,0,0
3.0,,,0,boy,เด็กผู้ชาย,hateful,มันมีไอ{IDENTITY_S}ในทีมฟุตบอลของกู,ident_neutral_nh,non-hateful,491,491b,1,2
3.0,,,3,christianity,คนคริสต์,hateful,พวก{IDENTITY_P}ไม่มีทางดูดีเลย,negate_pos_h,hateful,403,403,0,0
,3.0,,3,trans/ladyboy,คนแปลงเพศ,non-hateful,{IDENTITY_P} นี่แหละ ที่สมควรเป็นหนึ่งในรัฐบาลของเรา,ident_pos_nh,non-hateful,518,518,1,0
,3.0,,3,Myanmar,คนพม่า,non-hateful,"กุจะไม่ทนกับโพสต์แบบว่า ""{IDENTITY_P} น่ารังเกียจ""เลย",counter_quote_nh,non-hateful,536,536,0,0
3.0,,,0,Thai,คนไทย,hateful,มันมีไอ{IDENTITY_S}ในทีมฟุตบอลของกู,ident_neutral_nh,non-hateful,491,491b,0,2
3.0,,,3,Cambodians,คนเขมร,hateful,มันเป็นสันดานของไอพวก{IDENTITY_S}ที่น่ารำคาญและเหี้ย,profanity_h,hateful,259,259,0,0
3.0,,,3,Thai-Central,คนกรุง,hateful,กุต้องไปข่มขืน{IDENTITY_S}วันนี้,threat_dir_h,hateful,87,87,0,0
,3.0,,3,Malay,คนมาเล,non-hateful,พรุ่งนี้กุจะไปช่วย{IDENTITY_S},ident_pos_nh,non-hateful,523,523,0,0
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,พวก{IDENTITY_P}ก็แบบนี้แหละ มันน่ารังเกียจชิบหาย,ref_subs_sent_h,hateful,385,385,0,0
3.0,,,3,Thai-Laos,คนลาว,hateful,อีพวก{IDENTITY_P}สกปรกในสายตาเรา,phrase_opinion_h,hateful,466,466,0,0
3.0,,,3,buddhism,คนพุทธ,hateful,คนไม่รู้จริงๆ เหรอว่า{IDENTITY_P}น่ารังเกียจ,phrase_question_h,hateful,445,445,0,0
,3.0,,3,labour workers,แรงงาน,non-hateful,มากกว่าครึ่งที่เป็น{IDENTITY_P},ident_neutral_nh,non-hateful,494,494,0,1
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,มันเป็นสันดานของอีพวก{IDENTITY_P}ที่จะไม่มีวันเจริญ,derog_neg_attrib_h,hateful,32,32,0,0
,3.0,,3,tomboy,ทอม,non-hateful,อย่ายืนเฉยดิ พวก{IDENTITY_P}กำลังโดนฆ่าอยู่,negate_neg_nh,non-hateful,440,440,0,0
,3.0,,3,Highland Indigenous People,คนกะเหรี่ยง,non-hateful,มึงต้องรับผิดชอบคำพูดของมึงนะ ถ้ามึงพูดว่ามึงจะไปข่มขืน{IDENTITY_S},counter_ref_nh,non-hateful,562,562,0,1
,3.0,,3,Thai Isan,คนอีสาน,non-hateful,พรุ่งนี้กุจะไปกอด{IDENTITY_S},ident_pos_nh,non-hateful,520,520,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,กูจะทำร้ายพวก{IDENTITY_P}แบบมึง,threat_dir_h,hateful,88,88,1,0
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,พวก{IDENTITY_P}แม่งโคตรน่ารำคาญเลยว่ะ,derog_dehum_h,hateful,57,57,0,0
1.0,2.0,,2,trans/ladyboy,คนแปลงเพศ,non-hateful,เค้าจะทำให้{IDENTITY_P}ยิ้มให้ได้,ident_pos_nh,non-hateful,522,522,0,0
3.0,,,3,Thai,คนไทย,hateful,เท่าที่เรารู้อีพวก{IDENTITY_P}เป็นขยะของมนุษย์,phrase_opinion_h,hateful,469,469b,0,0
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,อีพวก{IDENTITY_P}โง่กันทุกคน,negate_pos_h,hateful,404,404,0,0
3.0,,,3,Myanmar,คนพม่า,hateful,{IDENTITY_P} ในประเทศนี้ทำกุหงุดหงิดชิบหายเลย,profanity_h,hateful,255,255,0,0
3.0,,,3,boy,เด็กผู้ชาย,hateful,น่าจะมีใครไปแทงพวก{IDENTITY_P}ให้ตายๆ ไปซะที,threat_norm_h,hateful,118,118,1,0
3.0,,,3,Thai-Central,คนกรุง,hateful,{IDENTITY_P} ในประเทศนี้ทำกุหงุดหงิดชิบหายเลย,profanity_h,hateful,255,255,0,0
,3.0,,3,Chinese-Thai,คนไทยเชื้อสายจีน,non-hateful,"ประโยคอย่าง ""อีพวก{IDENTITY_P}เป็นขยะ"" มันเจ็บใจสุดๆ",counter_quote_nh,non-hateful,537,537,0,0
,3.0,,3,girl,เด็กผู้หญิง,non-hateful,กุอยู่กับพวก{IDENTITY_P}สองคน,ident_neutral_nh,non-hateful,483,483,1,1
3.0,,,3,buddhism,คนพุทธ,hateful,{IDENTITY_P} แม่งเหี้ยกันทุกคนเลย,profanity_h,hateful,256,256,0,0
3.0,,,3,labour workers,แรงงาน,hateful,กุเกลียดพวก{IDENTITY_P}มากๆ,derog_neg_emote_h,hateful,8,8,0,0
3.0,,,3,Thai-Laos,คนลาว,hateful,กุว่ามีแค่{IDENTITY_P}เท่านั้นแหละที่โง่ขนาดนี้,phrase_opinion_h,hateful,463,463,0,0
3.0,,,3,migrant workers,แรงงานต่างด้าว,hateful,ควรให้คนไปจัดการกับไอพวก{IDENTITY_P}ให้หมด,threat_norm_h,hateful,119,119,0,0
3.0,,,3,Thai-Central,คนกรุง,hateful,พวกเราจะโจมตีพวก{IDENTITY_P}อย่างมึงจนกว่ามึงจะหายไป,threat_dir_h,hateful,92,92,1,0
,3.0,,3,Myanmar,คนพม่า,non-hateful,คนต้องเข้าใจว่า{IDENTITY_P}ไม่ใช่ภัยต่อสังคม,negate_neg_nh,non-hateful,425,425,0,0
,3.0,,3,Myanmar,คนพม่า,non-hateful,เราควรเคารพ{IDENTITY_P} นะ,ident_pos_nh,non-hateful,525,525b,0,0
,3.0,,3,hinduism,คนฮินดู,non-hateful,เราไม่ได้เกลียดพวก{IDENTITY_P},negate_neg_nh,non-hateful,423,423,0,0
,3.0,,3,women,ผู้หญิง,non-hateful,กุอยู่กับพวก{IDENTITY_P}สองคน,ident_neutral_nh,non-hateful,483,483,1,1
,3.0,,3,male,ผู้ชาย,non-hateful,เราควรเคารพ{IDENTITY_P} นะ,ident_pos_nh,non-hateful,525,525b,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,อย่าให้{IDENTITY_S}มีชีวิตอยู่ต่อไปเลย,negate_pos_h,hateful,417,417,1,0
3.0,,,3,buddhism,คนพุทธ,hateful,เกลียดไอ{IDENTITY_S}ที่สุดในโลก,derog_impl_h,hateful,79,79,0,0
3.0,,,3,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,คงจะดีถ้ามีคนไปรัดคอพวก{IDENTITY_P}ให้ตายๆ ไป,threat_norm_h,hateful,113,113a,0,0
3.0,,,3,trans/ladyboy,คนแปลงเพศ,hateful,พวก{IDENTITY_P}อย่างมึงเป็นเหี้ยไรมากปะ,profanity_h,hateful,242,242b,0,0
,3.0,,3,girl,เด็กผู้หญิง,non-hateful,การเรียก{IDENTITY_P}ว่าเป็นแมลงสาบมันเป็นสิ่งที่แย่มากๆ นะ,counter_ref_nh,non-hateful,559,559,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,อยากให้มีคนไปหักคอไอ้พวก{IDENTITY_P}จริงๆ,phrase_opinion_h,hateful,478,478,1,0
3.0,,,3,trans/ladyboy,คนแปลงเพศ,hateful,อย่าให้{IDENTITY_S}มีชีวิตอยู่ต่อไปเลย,negate_pos_h,hateful,417,417,0,0
,3.0,,3,Chinese-Thai,คนไทยเชื้อสายจีน,non-hateful,"การที่มึงบอกว่า ""{IDENTITY_P} แม่งเป็นพวกขยะ"" มันแสดงถึงตัวมึงเองนะเว้ย",counter_quote_nh,non-hateful,551,551,0,0
,3.0,,3,labour workers,แรงงาน,non-hateful,"ใครที่ส่งข้อความมาให้กุว่า ""มึงมันก็แค่{SLUR_S}สำหรับกุ"" กุจะบล็อกให้หมด",counter_quote_nh,non-hateful,547,547,0,0
,3.0,,3,islam,คนอิสลาม,non-hateful,กุจะไม่ยอมให้มีการฆ่าล้างเผ่าพันธุ์{IDENTITY_P}ในประเทศนี้,negate_neg_nh,non-hateful,431,431,0,0
3.0,,,3,Thai,คนไทย,hateful,{IDENTITY_P} คงคิดว่ามันพิเศษกว่าคนอื่น กุเกลียดคนแบบนี้ชิบหาย,ref_subs_sent_h,hateful,382,382a,0,0
3.0,,,3,Highland Indigenous People,คนกะเหรี่ยง,hateful,พวก{IDENTITY_P}ไปตายซะเถอะ,profanity_h,hateful,243,243,0,0
,3.0,,3,islam,คนอิสลาม,non-hateful,เราควรเคารพ{IDENTITY_P} นะ,ident_pos_nh,non-hateful,525,525b,0,0
3.0,,,3,women,ผู้หญิง,hateful,ไอพวก{IDENTITY_P}ไม่ควรมีที่ยืนในประเทศที่เจริญแล้วแบบนี้,derog_impl_h,hateful,80,80,1,0
3.0,,,3,disbabled,คนพิการ,hateful,มันเป็นสันดานของไอพวก{IDENTITY_S}ที่น่ารำคาญและเหี้ย,profanity_h,hateful,259,259,0,0
3.0,,,3,women,ผู้หญิง,hateful,ไม่น่ามีใครเหี้ยไปกว่าพวก{IDENTITY_P}ละ,derog_neg_emote_h,hateful,12,12,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,มีแต่พวก{IDENTITY_P}เท่านั้นแหละที่โง่ได้ขนาดนี้,derog_neg_attrib_h,hateful,34,34,1,0
3.0,,,3,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,{IDENTITY_P} พวกนี้มันเข้ากับสังคมไม่ได้หรอก ควรโดนประหารให้หมด,ref_subs_sent_h,hateful,397,397,0,0
3.0,,,3,Cambodians,คนเขมร,hateful,ไอ้ลิงนั้นฉลาดกว่าพวก{IDENTITY_P}รวมกันอีก,derog_impl_h,hateful,64,64,1,0
3.0,,,3,elderly,คนสูงวัย,hateful,ไอพวก{SLUR_P} ทำอีกแล้ว,slur_h,hateful,128,128,1,1
3.0,,,3,elderly,ผู้สูงอายุ,hateful,กุหมั่นใส้{IDENTITY_P}ชห,derog_neg_emote_h,hateful,4,4,0,0
3.0,,,3,buddhism,คนพุทธ,hateful,มันเป็นสันดานของอีพวก{IDENTITY_P}ที่จะไม่มีวันเจริญ,derog_neg_attrib_h,hateful,32,32,0,0
3.0,,,3,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,ในโลกที่ยุติธรรม อีพวก{IDENTITY_P}อย่างมึงควรตายห่าให้หมด,threat_norm_h,hateful,114,114,0,0
,3.0,,3,gay,เกย์,non-hateful,มันไม่โอเคเลยที่จะเรียกคนว่า{SLUR_S},counter_ref_nh,non-hateful,566,566,1,0
3.0,,,3,Thai-Laos,คนลาว,hateful,มันเป็นสันดานของอีพวก{IDENTITY_P}ที่จะไม่มีวันเจริญ,derog_neg_attrib_h,hateful,32,32,0,0
,3.0,,3,labour workers,แรงงาน,non-hateful,กุจะไม่ยอมให้มีการฆ่าล้างเผ่าพันธุ์{IDENTITY_P}ในประเทศนี้,negate_neg_nh,non-hateful,431,431,0,0
3.0,,,3,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,ทำไมไอพวก{IDENTITY_P}เป็นห่ากันแบบนี้หมดเลยวะ,phrase_question_h,hateful,460,460,0,0
3.0,,,3,gay,เกย์,hateful,ไอพวก{IDENTITY_P}ไม่ควรมีที่ยืนในประเทศที่เจริญแล้วแบบนี้,derog_impl_h,hateful,80,80,0,0
3.0,,,3,christianity,คนคริสต์,hateful,ให้ตายยังไงกุก็ไม่เดทกับ{IDENTITY_S}หรอก,derog_impl_h,hateful,76,76,0,1
3.0,,,3,Thai-Laos,คนลาว,hateful,ไอเดียที่ออกจากปาก{IDENTITY_S}น่ะ ก็เป็นเพียงความคิดห่วยแตกอันนึง,profanity_h,hateful,253,253,0,0
3.0,,,3,Highland Indigenous People,คนกะเหรี่ยง,hateful,คงจะดีถ้ามีคนไปรัดคอพวก{IDENTITY_P}ให้ตายๆ ไป,threat_norm_h,hateful,113,113a,0,0
3.0,,,3,Thai-Laos,คนลาว,hateful,{IDENTITY_P} คงคิดว่ามันพิเศษกว่าคนอื่น กุเกลียดคนแบบนี้ชิบหาย,ref_subs_sent_h,hateful,382,382a,0,0
3.0,,,3,Thai,คนไทย,hateful,อยากให้มีคนไปหักคอไอ้พวก{IDENTITY_P}จริงๆ,phrase_opinion_h,hateful,478,478,0,0
,3.0,,3,elderly,ผู้สูงอายุ,non-hateful,โรงเรียนกูแทบไม่มีพวก{IDENTITY_P},ident_neutral_nh,non-hateful,497,497a,0,1
3.0,,,3,Thai-Central,คนกรุง,hateful,เจอ{IDENTITY_P}มาหลายคน กุเกลียดหมดเลย,ref_subs_clause_h,hateful,362,362,0,0
3.0,,,3,tomboy,ทอม,hateful,คนไม่รู้จริงๆ เหรอว่า{IDENTITY_P}น่ารังเกียจ,phrase_question_h,hateful,445,445,0,0
3.0,,,3,Highland Indigenous People,คนกะเหรี่ยง,hateful,เกลียดไอ{IDENTITY_S}ที่สุดในโลก,derog_impl_h,hateful,79,79,0,0
3.0,,,3,Myanmar,คนพม่า,hateful,น่าจะมีใครไปแทงพวก{IDENTITY_P}ให้ตายๆ ไปซะที,threat_norm_h,hateful,118,118,0,0
3.0,,,3,christianity,คนคริสต์,hateful,อย่าให้{IDENTITY_S}มีชีวิตอยู่ต่อไปเลย,negate_pos_h,hateful,417,417,0,0
3.0,,,3,Chinese-Thai,คนไทยเชื้อสายจีน,hateful,ไม่มีอะไรเหี้ยไปกว่าไอ{IDENTITY_S}แล้ว,derog_neg_emote_h,hateful,14,14,0,0
