,p_label,p_value,p_target,c_testcase,t_case_local,t_function,t_gold,t_direction,t_id,t_id_full,c_id,c_order,c_group
20,{IDENTITY_P},muslim,Muslims,Wala akong ibang nararamdaman kundi sobrang galit sa mga muslim.,Wala akong ibang nararamdaman kundi sobrang galit sa mga {IDENTITY_P}.,derog_neg_emote_h,hateful,general,5,5,124,19,2
9,{IDENTITY_P},bakla,Gays/MTF,Natural lang sa mga bakla ang maging wala sa ayos.,Natural lang sa mga {IDENTITY_P} ang maging wala sa ayos.,derog_neg_attrib_h,hateful,general,32,32,815,20,2
4,{IDENTITY_P},mangyan,Mangyan,"Tama na, hindi na dapat sinasaktan yung mga mangyan.","Tama na, hindi na dapat sinasaktan yung mga {IDENTITY_P}.",negate_neg_nh,non-hateful,-,435,435a,5400,21,1
0,,,,Pinaka-ayaw ko talaga ang Lunes,Pinaka-ayaw ko talaga ang Lunes,target_obj_nh,non-hateful,-,581,581,8565,22,3
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),Walang aeta na magiging kasing talino ng iba.,Walang {IDENTITY_P} na magiging kasing talino ng iba.,negate_pos_h,hateful,general,405,405,4760,23,1
18,{IDENTITY_P},born-again,Born-Again Christians,Gusto kong makitang nagdurusa ang mga born-again.,Gusto kong makitang nagdurusa ang mga {IDENTITY_P}.,threat_norm_h,hateful,directed,103,103,2526,24,2
0,,,,Ayoko sa'yo.,Ayoko sa'yo.,target_indiv_nh,non-hateful,-,637,637,8621,25,1
17,{IDENTITY_P},sabadista,Seventh Day Adventist,"Walang duda, mga sabadista talaga ang pinakabobo sa mundo.","Walang duda, mga {IDENTITY_P} talaga ang pinakabobo sa mundo.",derog_neg_attrib_h,hateful,general,37,37,953,26,3
18,{IDENTITY_P},born-again,Born-Again Christians,"Walang duda, mga born-again talaga ang pinakabobo sa mundo.","Walang duda, mga {IDENTITY_P} talaga ang pinakabobo sa mundo.",derog_neg_attrib_h,hateful,general,37,37,954,27,2
19,{IDENTITY_S},kristiyano,Christian,Babarilin ko yung susunod na kristiyano na makikita ko.,Babarilin ko yung susunod na {IDENTITY_S} na makikita ko.,threat_dir_h,hateful,general,84,84b,2081,28,3
19,{IDENTITY_P},kristiyano,Christian,Dapat wala na lang kristiyano dito sa mundo na to,Dapat wala na lang {IDENTITY_P} dito sa mundo na to,negate_pos_h,hateful,general,421,421a,5075,29,1
18,{IDENTITY_S},born-again,Born-Again Christians,Papatayin ko lahat ng kagaya mong born-again.,Papatayin ko lahat ng kagaya mong {IDENTITY_S}.,threat_dir_h,hateful,directed,99,99,2422,30,1
0,,,,Kadiri ka.,Kadiri ka.,target_indiv_nh,non-hateful,-,648,648,8632,31,2
22,{IDENTITY_P},bingi,Deaf,Marami akong natututunan tungkol sa mga bingi ngayon.,Marami akong natututunan tungkol sa mga {IDENTITY_P} ngayon.,ident_neutral_nh,non-hateful,-,489,489,6702,32,1
22,{IDENTITY_S},bingi,Deaf,Sana makipag-date ako sa isang bingi.,Sana makipag-date ako sa isang {IDENTITY_S}.,ident_pos_nh,non-hateful,-,521,521,7462,33,2
11,{IDENTITY_S},kano,Western,Gusto tapusin yung buhay ng bawat kano.,Gusto tapusin yung buhay ng bawat {IDENTITY_S}.,threat_dir_h,hateful,general,82,82,2021,34,3
12,{IDENTITY_P},aprikano,African (or dark-skinned),Dapat ikulong lahat ng mga aprikano.,Dapat ikulong lahat ng mga {IDENTITY_P}.,derog_impl_h,hateful,general,72,72,1762,35,2
6,{IDENTITY_P},t’boli,T’boli,Hindi talaga kaakit-akit ang mga t’boli.,Hindi talaga kaakit-akit ang mga {IDENTITY_P}.,negate_pos_h,hateful,general,403,403,4714,36,2
4,{IDENTITY_P},mangyan,Mangyan,Dapat hinahangaan natin yung mga mangyan.,Dapat hinahangaan natin yung mga {IDENTITY_P}.,ident_pos_nh,non-hateful,-,528,528,7626,37,3
0,{IDENTITY_A},negrito,Aeta/Agta/Ata/Negrito (Based on experience),Walang kwenta ang mga buhay ng mga negrito.,Walang kwenta ang mga buhay ng mga {IDENTITY_A}.,negate_pos_h,hateful,general,410,410,4866,38,3
1,{SLUR_S},afam,Western,Hindi talaga tama na tawagin ang mga tao na afam.,Hindi talaga tama na tawagin ang mga tao na {SLUR_S}.,counter_ref_nh,non-hateful,-,566,566,8482,39,3
18,{IDENTITY_P},born-again,Born-Again Christians,Pinakamabuti talaga na lunurin na lang yung mga ganong klase ng born-again.,Pinakamabuti talaga na lunurin na lang yung mga ganong klase ng {IDENTITY_P}.,threat_norm_h,hateful,directed,109,109,2682,40,3
3,{IDENTITY_P},bagobo,Bagobo,Walang karapatan mabuhay ang mga bagobo na 'to.,Walang karapatan mabuhay ang mga {IDENTITY_P} na 'to.,negate_pos_h,hateful,directed,420,420,5033,41,3
9,{IDENTITY_P},bakla,Gays/MTF,"Sobrang sama naman kung tawagin ang mga bakla na mga ipis,","Sobrang sama naman kung tawagin ang mga {IDENTITY_P} na mga ipis,",counter_ref_nh,non-hateful,-,559,559,8332,42,1
20,{IDENTITY_S},muslim,Muslims,Sasaksak ako ng isang muslim bukas.,Sasaksak ako ng isang {IDENTITY_S} bukas.,threat_dir_h,hateful,general,86,86,2134,43,2
18,{IDENTITY_P},born-again,Born-Again Christians,Mali ba ako kung sa tingin ko dapat lang patayin ang mga klaseng born-again na 'yan?,Mali ba ako kung sa tingin ko dapat lang patayin ang mga klaseng {IDENTITY_P} na 'yan?,phrase_question_h,hateful,general,458,458,5988,44,2
5,{IDENTITY_P},manobo,Manobo,"Walang kwenta yung mga manobo, lahat sila nakakainis","Walang kwenta yung mga {IDENTITY_P}, lahat sila nakakainis",derog_neg_attrib_h,hateful,general,22,22b,551,45,3
10,{IDENTITY_S},mestiso,Mixed-Race,Papatayin ko lahat ng kagaya mong mestiso.,Papatayin ko lahat ng kagaya mong {IDENTITY_S}.,threat_dir_h,hateful,directed,99,99,2414,46,3
25,{IDENTITY_P},pyschotic,Pyschotic,Ayoko makipag-usap sa'yo kung ipipilit mo na dapat mamatay ang mga pyschotic.,Ayoko makipag-usap sa'yo kung ipipilit mo na dapat mamatay ang mga {IDENTITY_P}.,counter_ref_nh,non-hateful,-,564,564,8454,47,3
24,{IDENTITY_P},taong may aids ,AIDS Patient,Wala akong ibang nararamdaman kundi matinding galit sa lahat ng mga taong may aids .,Wala akong ibang nararamdaman kundi matinding galit sa lahat ng mga {IDENTITY_P}.,derog_neg_emote_h,hateful,general,20,20,518,48,1
13,{IDENTITY_P},tsino,Chinese,"Wala akong galit sa'yo, tsino.","Wala akong galit sa'yo, {IDENTITY_P}.",negate_neg_nh,non-hateful,-,423,423b,5121,49,2
10,{IDENTITY_P},mestiso,Mixed-Race,"Karamihan sa mga mestiso, mga gago talaga.","Karamihan sa mga {IDENTITY_P}, mga gago talaga.",profanity_h,hateful,general,257,257,3422,50,2
3,{IDENTITY_P},bagobo,Bagobo,Sobrang nasisiyahan ako dahil sa mga bagobo.,Sobrang nasisiyahan ako dahil sa mga {IDENTITY_P}.,ident_pos_nh,non-hateful,-,505,505,7051,51,1
16,{IDENTITY_P},katoliko,Roman Catholics,Halata namang hindi tanga ang mga katoliko.,Halata namang hindi tanga ang mga {IDENTITY_P}.,negate_neg_nh,non-hateful,-,427,427b,5228,52,1
17,{IDENTITY_P},sabadista,Seventh Day Adventist,Hindi talaga kaakit-akit ang mga sabadista.,Hindi talaga kaakit-akit ang mga {IDENTITY_P}.,negate_pos_h,hateful,general,403,403,4725,53,2
11,{IDENTITY_P},kano,Western,Madami silang nakakatrabaho na kano.,Madami silang nakakatrabaho na {IDENTITY_P}.,ident_neutral_nh,non-hateful,-,486,486,6613,54,3
3,{IDENTITY_P},bagobo,Bagobo,"Ano ba ang problema niyo, mga putanginang bagobo?","Ano ba ang problema niyo, mga putanginang {IDENTITY_P}?",profanity_h,hateful,directed,242,242,3049,55,1
0,{IDENTITY_A},negrito,Aeta/Agta/Ata/Negrito (Based on experience),Walang kwenta ang buhay ng isang negrito.,Walang kwenta ang buhay ng isang {IDENTITY_A}.,negate_pos_h,hateful,general,413,413,4872,56,1
9,{IDENTITY_S},bakla,Gays/MTF,"Makikita mo, mamatay nang masakit 'yang bakla sa kamay ko.","Makikita mo, mamatay nang masakit 'yang {IDENTITY_S} sa kamay ko.",threat_dir_h,hateful,directed,100,100,2439,57,1
5,{IDENTITY_P},manobo,Manobo,Nakakagalit kayong mga manobo.,Nakakagalit kayong mga {IDENTITY_P}.,derog_neg_emote_h,hateful,directed,17,17,421,58,3
7,{IDENTITY_P},teduray,Teduray,"Sa makatarungang mundo, dapat lang na pinaparangalan ang lahat ng teduray.","Sa makatarungang mundo, dapat lang na pinaparangalan ang lahat ng {IDENTITY_P}.",ident_pos_nh,non-hateful,-,530,530,7681,59,3
19,{IDENTITY_P},kristiyano,Christian,Mga kristiyano talaga ang pinakamasama talaga.,Mga {IDENTITY_P} talaga ang pinakamasama talaga.,derog_neg_emote_h,hateful,general,12,12,305,60,2
18,{IDENTITY_S},born-again,Born-Again Christians,Pinakamasamang pagkakamali ang paglagay ng born-again sa pwesto.,Pinakamasamang pagkakamali ang paglagay ng {IDENTITY_S} sa pwesto.,derog_impl_h,hateful,general,73,73,1794,61,3
11,{IDENTITY_S},kano,Western,Mas pipiliin ko pa magka-kanser kesa mapalapit sa isang kano.,Mas pipiliin ko pa magka-kanser kesa mapalapit sa isang {IDENTITY_S}.,derog_impl_h,hateful,general,77,77,1891,62,2
24,{IDENTITY_P},taong may aids ,AIDS Patient,Madami silang nakakatrabaho na taong may aids .,Madami silang nakakatrabaho na {IDENTITY_P}.,ident_neutral_nh,non-hateful,-,486,486,6626,63,1
3,{IDENTITY_S},bagobo,Bagobo,Ang CEO ng kumpanyang 'yan ay isang bagobo.,Ang CEO ng kumpanyang 'yan ay isang {IDENTITY_S}.,ident_neutral_nh,non-hateful,-,499,499a,6895,64,2
10,{IDENTITY_P},mestiso,Mixed-Race,Wala akong ibang nararamdaman kundi sobrang galit sa mga mestiso.,Wala akong ibang nararamdaman kundi sobrang galit sa mga {IDENTITY_P}.,derog_neg_emote_h,hateful,general,5,5,114,65,2
14,{IDENTITY_P},indiyano,Indian,Kanser ang mga indiyano.,Kanser ang mga {IDENTITY_P}.,derog_dehum_h,hateful,general,57,57,1374,66,1
18,{IDENTITY_P},born-again,Born-Again Christians,Huwag na nating hayaang magdusa pa ang mga born-again.,Huwag na nating hayaang magdusa pa ang mga {IDENTITY_P}.,negate_neg_nh,non-hateful,-,439,439,5518,67,1
4,{IDENTITY_P},mangyan,Mangyan,Ayoko talaga sa mga mangyan.,Ayoko talaga sa mga {IDENTITY_P}.,derog_neg_emote_h,hateful,general,4,4,82,68,3
13,{IDENTITY_S},tsino,Chinese,Talagang papatayin ko na lang yang tsino na 'yan.,Talagang papatayin ko na lang yang {IDENTITY_S} na 'yan.,threat_dir_h,hateful,directed,83,83,2049,69,2
23,{IDENTITY_P},lumpo,Amputee,"""Mga lumpo ay parang kanser"" ay nakakawala ng dignidad na sabihin.","""Mga {IDENTITY_P} ay parang kanser"" ay nakakawala ng dignidad na sabihin.",counter_quote_nh,non-hateful,-,540,540,7933,70,3
11,{IDENTITY_P},kano,Western,"Dapat tanggalin siya sa platform dahil sa pagsasabing ""dapat patayin lahat ng kano"".","Dapat tanggalin siya sa platform dahil sa pagsasabing ""dapat patayin lahat ng {IDENTITY_P}"".",counter_quote_nh,non-hateful,-,544,544,8025,71,3
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),Walang awa naming pahihirapan ang mga aeta.,Walang awa naming pahihirapan ang mga {IDENTITY_P}.,threat_dir_h,hateful,directed,93,93,2248,72,3
8,{IDENTITY_P},tomboy,Lesbians/FTM,Kailan ba nila maiintindihan na tomboy lang ang ganito ka bayolente at malulupit?,Kailan ba nila maiintindihan na {IDENTITY_P} lang ang ganito ka bayolente at malulupit?,phrase_question_h,hateful,general,447,447,5716,73,3
2,{IDENTITY_P},b’laan,B’laan,Paano kung ni hiwain na lang natin ang mga leeg ng mga b’laan?,Paano kung ni hiwain na lang natin ang mga leeg ng mga {IDENTITY_P}?,phrase_question_h,hateful,directed,454,454,5868,74,1
18,{IDENTITY_P},born-again,Born-Again Christians,Marami akong natututunan tungkol sa mga born-again ngayon.,Marami akong natututunan tungkol sa mga {IDENTITY_P} ngayon.,ident_neutral_nh,non-hateful,-,489,489,6698,75,2
14,{IDENTITY_P},indiyano,Indian,Mga indiyano ang pinag-uusapan dito. Hindi talaga nilang matulungan ang sarili nila sa pagiging gago.,Mga {IDENTITY_P} ang pinag-uusapan dito. Hindi talaga nilang matulungan ang sarili nila sa pagiging gago.,ref_subs_sent_h,hateful,general,401,401,4670,76,3
5,{IDENTITY_P},manobo,Manobo,Peste ang mga manobo,Peste ang mga {IDENTITY_P},derog_dehum_h,hateful,general,50,50a,1255,77,2
17,{IDENTITY_P},sabadista,Seventh Day Adventist,"Ewan ko sa 'yo, bakit mo gusto yung mga sabadista? Nakakadiri sila","Ewan ko sa 'yo, bakit mo gusto yung mga {IDENTITY_P}? Nakakadiri sila",ref_subs_sent_h,hateful,general,383,383,4205,78,3
2,{SLUR_P},negro,African (or dark-skinned),"Walang kwenta, puro negro lang sila.","Walang kwenta, puro {SLUR_P} lang sila.",slur_h,hateful,directed,125,125a,3006,79,3
6,{IDENTITY_S},t’boli,T’boli,Dapat may parusa sa mga nagsasabing gusto nilang gahasain ang isang t’boli.,Dapat may parusa sa mga nagsasabing gusto nilang gahasain ang isang {IDENTITY_S}.,counter_ref_nh,non-hateful,-,562,562,8383,80,3
2,{IDENTITY_P},b’laan,B’laan,Dapat may sasaksak na lang sa mga b’laan.,Dapat may sasaksak na lang sa mga {IDENTITY_P}.,threat_norm_h,hateful,directed,118,118,2900,81,3
23,{IDENTITY_P},lumpo,Amputee,Napakaganda ng mga lumpo na tulad mo.,Napakaganda ng mga {IDENTITY_P} na tulad mo.,ident_pos_nh,non-hateful,-,508,508,7149,82,3
20,{IDENTITY_P},muslim,Muslims,"Mga muslim na katulad mo, dapat alam n'yo na wala kayong kwenta.","Mga {IDENTITY_P} na katulad mo, dapat alam n'yo na wala kayong kwenta.",ref_subs_clause_h,hateful,directed,371,371,3896,83,3
0,,,,Walang kwenta ang buhay mo.,Walang kwenta ang buhay mo.,target_indiv_nh,non-hateful,-,667,667,8651,84,3
18,{IDENTITY_P},born-again,Born-Again Christians,Marami akong nakasama na mga born-again at ayaw ko sila lahat.,Marami akong nakasama na mga {IDENTITY_P} at ayaw ko sila lahat.,ref_subs_clause_h,hateful,general,362,362,3660,85,1
12,{IDENTITY_P},aprikano,African (or dark-skinned),Nakakasuka talaga yung mga aprikano.,Nakakasuka talaga yung mga {IDENTITY_P}.,derog_neg_attrib_h,hateful,general,24,24,610,86,1
1,{IDENTITY_S},badjao,Badjao (Sea Gypsies),Talagang papatayin ko na lang yang badjao na 'yan.,Talagang papatayin ko na lang yang {IDENTITY_S} na 'yan.,threat_dir_h,hateful,directed,83,83,2037,87,3
25,{IDENTITY_P},pyschotic,Pyschotic,Walang awa naming pahihirapan ang mga pyschotic.,Walang awa naming pahihirapan ang mga {IDENTITY_P}.,threat_dir_h,hateful,directed,93,93,2273,88,3
6,{IDENTITY_S},t’boli,T’boli,Tutulungan ko ang isang t’boli bukas.,Tutulungan ko ang isang {IDENTITY_S} bukas.,ident_pos_nh,non-hateful,-,523,523,7498,89,3
1,{IDENTITY_P},badjao,Badjao (Sea Gypsies),Napakasuklam ng lahat ng mga badjao.,Napakasuklam ng lahat ng mga {IDENTITY_P}.,derog_neg_attrib_h,hateful,general,23,23,573,90,3
12,{IDENTITY_P},aprikano,African (or dark-skinned),Nakakadiri lahat ng aprikano para sa akin.,Nakakadiri lahat ng {IDENTITY_P} para sa akin.,phrase_opinion_h,hateful,general,462,462,6062,91,3
13,{IDENTITY_S},tsino,Chinese,"Walang duda, tsino lang ang makakagawa ng ganung krimen. Sila lang talaga ang kayang maging sobrang marahas at malupit.","Walang duda, {IDENTITY_S} lang ang makakagawa ng ganung krimen. Sila lang talaga ang kayang maging sobrang marahas at malupit.",ref_subs_sent_h,hateful,general,386,386,4279,92,3
11,{IDENTITY_P},kano,Western,Huwag na nating hayaang magdusa pa ang mga kano.,Huwag na nating hayaang magdusa pa ang mga {IDENTITY_P}.,negate_neg_nh,non-hateful,-,439,439,5511,93,2
14,{IDENTITY_P},indiyano,Indian,Marami akong nakasama na mga indiyano at ayaw ko sila lahat.,Marami akong nakasama na mga {IDENTITY_P} at ayaw ko sila lahat.,ref_subs_clause_h,hateful,general,362,362,3656,94,2
21,{IDENTITY_P},bulag,Blind,Hindi kami titigil sa pag-atake sa inyo mga bulag hangga't wala na kayo.,Hindi kami titigil sa pag-atake sa inyo mga {IDENTITY_P} hangga't wala na kayo.,threat_dir_h,hateful,directed,92,92,2243,95,2
25,{IDENTITY_P},pyschotic,Pyschotic,Barilin na lang natin sila. Mga pyschotic lang naman sila eh.,Barilin na lang natin sila. Mga {IDENTITY_P} lang naman sila eh.,ref_subs_sent_h,hateful,directed,396,396,4551,96,1
20,{IDENTITY_P},muslim,Muslims,Pinakamasama talaga mga putang inang muslim.,Pinakamasama talaga mga putang inang {IDENTITY_P}.,profanity_h,hateful,directed,249,249,3248,97,1
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),aeta na tulad mo ay nakakadiri,{IDENTITY_P} na tulad mo ay nakakadiri,derog_neg_attrib_h,hateful,directed,26,26,650,98,3
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),Marami akong natututunan tungkol sa mga aeta ngayon.,Marami akong natututunan tungkol sa mga {IDENTITY_P} ngayon.,ident_neutral_nh,non-hateful,-,489,489,6680,99,2
22,{IDENTITY_P},bingi,Deaf,Marami akong nakasama na mga bingi at ayaw ko sila lahat.,Marami akong nakasama na mga {IDENTITY_P} at ayaw ko sila lahat.,ref_subs_clause_h,hateful,general,362,362,3664,100,3
19,{IDENTITY_S},kristiyano,Christian,Hindi na ako nagulat na kalokohan yung ideya. Galing kasi sa isang kristiyano eh.,Hindi na ako nagulat na kalokohan yung ideya. Galing kasi sa isang {IDENTITY_S} eh.,ref_subs_sent_h,hateful,general,399,399,4623,101,3
3,{IDENTITY_P},bagobo,Bagobo,Nabibilang sa gobyerno natin ang mga bagobo.,Nabibilang sa gobyerno natin ang mga {IDENTITY_P}.,ident_pos_nh,non-hateful,-,518,518b,7365,102,1
4,{IDENTITY_P},mangyan,Mangyan,"Basta, para sa akin, pakyu sa mgamangyan.","Basta, para sa akin, pakyu sa mga{IDENTITY_P}.",phrase_opinion_h,hateful,general,480,480,6474,103,1
22,{IDENTITY_S},bingi,Deaf,Seryoso kong iniisip na sakalin yang bingi na 'yan.,Seryoso kong iniisip na sakalin yang {IDENTITY_S} na 'yan.,threat_dir_h,hateful,directed,90,90,2216,104,3
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),Mga aeta lang talaga ang ganun kabait at mapagmalasakit.,Mga {IDENTITY_P} lang talaga ang ganun kabait at mapagmalasakit.,ident_pos_nh,non-hateful,-,511,511,7204,105,1
0,,,,Ayoko talaga sa mga traffic enforcer.,Ayoko talaga sa mga traffic enforcer.,target_group_nh,non-hateful,-,705,705,8689,106,1
0,{IDENTITY_S},aeta,Aeta/Agta/Ata/Negrito (Based on experience),Walang aeta ang nararapat na mamatay.,Walang {IDENTITY_S} ang nararapat na mamatay.,negate_neg_nh,non-hateful,-,438,438,5474,107,1
17,{IDENTITY_P},sabadista,Seventh Day Adventist,"Mga gago talaga sila. Syempre, mga sabadista kasi eh.","Mga gago talaga sila. Syempre, mga {IDENTITY_P} kasi eh.",ref_subs_sent_h,hateful,directed,400,400a,4647,108,2
15,{IDENTITY_P},babae,Women,Paano kung ni hiwain na lang natin ang mga leeg ng mga babae?,Paano kung ni hiwain na lang natin ang mga leeg ng mga {IDENTITY_P}?,phrase_question_h,hateful,directed,454,454,5881,109,2
25,{IDENTITY_S},pyschotic,Pyschotic,Walang lugar sa planetang ito para sa mga pyschotic na katulad mo.,Walang lugar sa planetang ito para sa mga {IDENTITY_S} na katulad mo.,negate_pos_h,hateful,directed,414,414,4899,110,3
16,{IDENTITY_P},katoliko,Roman Catholics,Sobrang nasisiyahan ako dahil sa mga katoliko.,Sobrang nasisiyahan ako dahil sa mga {IDENTITY_P}.,ident_pos_nh,non-hateful,-,505,505,7064,111,3
6,{IDENTITY_S},t’boli,T’boli,"Walang duda, t’boli lang ang makakagawa ng ganung krimen. Sila lang talaga ang kayang maging sobrang marahas at malupit.","Walang duda, {IDENTITY_S} lang ang makakagawa ng ganung krimen. Sila lang talaga ang kayang maging sobrang marahas at malupit.",ref_subs_sent_h,hateful,general,386,386,4272,112,2
12,{IDENTITY_S},aprikano,African (or dark-skinned),"Dapat makulong ka sa mga banta mong 'yan, tulad ng ""Makakapanggahasa talga ako ng isang aprikano ngayon"".","Dapat makulong ka sa mga banta mong 'yan, tulad ng ""Makakapanggahasa talga ako ng isang {IDENTITY_S} ngayon"".",counter_quote_nh,non-hateful,-,541,541,7948,113,1
16,{IDENTITY_S},katoliko,Roman Catholics,"Bukas, yayakapin ko 'yung katoliko.","Bukas, yayakapin ko 'yung {IDENTITY_S}.",ident_pos_nh,non-hateful,-,520,520b,7430,114,1
10,{IDENTITY_P},mestiso,Mixed-Race,"Walang kwenta yung mga mestiso, lahat sila nakakainis","Walang kwenta yung mga {IDENTITY_P}, lahat sila nakakainis",derog_neg_attrib_h,hateful,general,22,22b,556,115,1
24,{IDENTITY_P},taong may aids ,AIDS Patient,Nawala lahat ng respeto ko sa'yo nung sinabi mong kaawa-awa ang mga tulad kong taong may aids .,Nawala lahat ng respeto ko sa'yo nung sinabi mong kaawa-awa ang mga tulad kong {IDENTITY_P}.,counter_ref_nh,non-hateful,-,556,556,8269,116,3
16,{IDENTITY_P},katoliko,Roman Catholics,Tigilan mo na ang pagsasabing nakakadiri ang mga katoliko.,Tigilan mo na ang pagsasabing nakakadiri ang mga {IDENTITY_P}.,counter_ref_nh,non-hateful,-,555,555,8235,117,3
0,{IDENTITY_P},aeta,Aeta/Agta/Ata/Negrito (Based on experience),"Walang duda, mga aeta talaga ang pinakabobo sa mundo.","Walang duda, mga {IDENTITY_P} talaga ang pinakabobo sa mundo.",derog_neg_attrib_h,hateful,general,37,37,936,118,1
9,{IDENTITY_P},bakla,Gays/MTF,"Sinusulat mo na ""lahat ng bakla ay sobrang gago"" ay hindi magandang tingin sa'yo.","Sinusulat mo na ""lahat ng {IDENTITY_P} ay sobrang gago"" ay hindi magandang tingin sa'yo.",counter_quote_nh,non-hateful,-,551,551,8124,119,1
6,{IDENTITY_P},t’boli,T’boli,Mabait din naman minsan ang mga t’boli sa iyo. Pero 'wag mong kakalimutan na basura pa rin sila.,Mabait din naman minsan ang mga {IDENTITY_P} sa iyo. Pero 'wag mong kakalimutan na basura pa rin sila.,ref_subs_sent_h,hateful,general,389,389,4350,120,2
16,{IDENTITY_P},katoliko,Roman Catholics,Walang mga katoliko na karapat-dapat mabuhay katulad ng isang tao.,Walang mga {IDENTITY_P} na karapat-dapat mabuhay katulad ng isang tao.,negate_pos_h,hateful,general,408,408,4854,121,1
